Payments to suppliers over £500 - January 2026,,,,,,,,
,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Account,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043032,573.56,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043007,577.45,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043017,591.92,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043001,635.23,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043028,670.11,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043005,689.82,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043029,867.4,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043239,882.69,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043176,900.27,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043019,911.5,INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043070,"1,001.60",INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043055,"1,621.93",INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Water Services,710230,Void Dwelling Management,A30300,07/01/2026,21043191,"1,791.30",INDEPENDENT WATER NETWORKS LIMITED
Norwich City Council,Compensation to Tenants,710120,Neighbourhood Services,A44300,08/01/2026,21042760,653.33,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Doors,X95010,Housing & Community Safety HRA Capital,C11100,08/01/2026,21043951,"9,780.00",GERDA SECURITY PRODUCTS LIMITED
Norwich City Council,Intangible Fixed Assets,X90080,Property & Economic Development GF Capital,C12400,08/01/2026,21042800,"3,300.00",INFOSHARE+ LIMITED
Norwich City Council,Other Hired & Contracting Services,160000,Open Spaces,A51200,08/01/2026,21042792,"1,516.67",NORWICH CITY SERVICES LTD
Norwich City Council,Other Hired & Contracting Services,160000,Open Spaces,A51200,08/01/2026,21042768,"3,508.33",NORWICH CITY SERVICES LTD
Norwich City Council,Other Hired & Contracting Services,160000,Open Spaces,A51200,08/01/2026,21042793,"3,848.00",NORWICH CITY SERVICES LTD
Norwich City Council,Pest Control,160000,Open Spaces,A28800,08/01/2026,21042763,656.39,NORWICH CITY SERVICES LTD
Norwich City Council,Professional Advice/Fees,190710,St Andrews & Blackfriars Halls,A51300,08/01/2026,21042660,"2,775.00",REDACTED PERSONAL DATA
Norwich City Council,Purchase of Land & Buildings,X90080,Property & Economic Development GF Capital,C10000,08/01/2026,21042842,"2,850.00",BLOOM PROCUREMENT SERVICES LIMITED
Norwich City Council,Short Term - Accrued Income,999999,GF Balance Sheet,B11600,08/01/2026,21043052,"1,394.55",INTEGRATED WATER SERVICES LTD
Norwich City Council,T V Aerial Mtce,721020,Estates Management,A48000,08/01/2026,21042679,"1,197.07",SECURITAS TECHONOLOGY LTD
Norwich City Council,Water Service Testing,730020,HRA Repairs,A30200,08/01/2026,21044489,"2,714.82",INTEGRATED WATER SERVICES LTD
Norwich City Council,Bin Store Area Cleaning,721020,Estates Management,A28250,09/01/2026,21042781,"5,472.92",NORWICH CITY SERVICES LTD
Norwich City Council,Electrical,X95010,Housing & Community Safety HRA Capital,C10200,09/01/2026,21043968,652.92,ENVIRONTEC LIMITED
Norwich City Council,Gas Cent Heating Repairs C Wks,730020,HRA Repairs,A23600,09/01/2026,21042901,"2,101.98",GASWAY SERVICES LTD
Norwich City Council,Gas Cent Heating Repairs C Wks,730020,HRA Repairs,A23600,09/01/2026,21042902,"2,101.98",GASWAY SERVICES LTD
Norwich City Council,Gas Cent Heating Repairs C Wks,730020,HRA Repairs,A23600,09/01/2026,21042904,"2,101.98",GASWAY SERVICES LTD
Norwich City Council,Homelessness,410030,Homelessness,A40200,09/01/2026,21043421,"1,659.74",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,IT Services - Contract Charge,321025,IT Infrastructure,A50400,09/01/2026,21043136,"8,970.49",KOHLER UNINTERRUPTIBLE POWER LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,09/01/2026,21042916,"1,400.00",J A ALLEN LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,09/01/2026,21043577,"6,806.50",TROWERS & HAMLINS LLP
Norwich City Council,Specialist Supplies,421010,Arboricultural services,A45100,09/01/2026,21042930,572,TREECARE CONSULTANTS LTD
Norwich City Council,Staff Training Expenses,530050,Learning & Development,A10800,09/01/2026,21043935,"39,479.58",LEARNING POOL
Norwich City Council,Variations to Database,431080,Integrated Waste Management,A51000,09/01/2026,21042971,"6,734.00",BIFFA MUNICIPAL LIMITED
Norwich City Council,Vehicles/Plant Eqpmt/Machinery,X90050,Environment Services GF Capital,C12300,09/01/2026,21042927,"48,602.94",SPLASH PADS ENTERPRISES LIMITED T/A THE SPLASH
Norwich City Council,Agency Supply Staff,410010,Private Sector Housing,A11300,12/01/2026,21043094,"1,739.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,640235,Strategic Asset Management,A11300,12/01/2026,21042965,"2,009.15",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,321025,IT Infrastructure,A11300,12/01/2026,21043119,"2,069.10",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,710020,Head of Housing,A11300,12/01/2026,21043101,"17,701.25",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Disabled Adaptations,X95010,Housing & Community Safety HRA Capital,C11900,12/01/2026,21043496,"18,594.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Electricity,250000,Assets Used by Others,A27000,12/01/2026,21043123,"1,079.01",BROADS AUTHORITY
Norwich City Council,Electricity,190001,Anglia Square - Development,A27000,12/01/2026,22010144,"1,117.81",SSE ENERGY SOLUTIONS
Norwich City Council,Environmental Improvements,710120,Neighbourhood Services,A23700,12/01/2026,21043092,"1,954.23",NORWICH CITY SERVICES LTD
Norwich City Council,Heating Oil,721040,District Heating,A26900,12/01/2026,21043656,"2,697.21",RIX PETROLEUM LTD
Norwich City Council,Homelessness,410030,Homelessness,A40200,12/01/2026,21043321,840,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Homelessness,410030,Homelessness,A40200,12/01/2026,21043380,"1,640.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Homelessness,410030,Homelessness,A40200,12/01/2026,21043424,"2,940.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,IT Services - Development Fund,321026,IT Applications,A50600,12/01/2026,21042967,"3,125.00",GRAVITAS RECRUITMENT GROUP LTD
Norwich City Council,Lift Mtce,730020,HRA Repairs,A20700,12/01/2026,21042978,"9,050.00",STANNAH LIFTS LTD
Norwich City Council,Lift Upgrades,X95010,Housing & Community Safety HRA Capital,C11850,12/01/2026,21042977,"34,207.60",STANNAH LIFTS LTD
Norwich City Council,NCSL Deposit Recharge,421020,Mousehold Heath Conservators,A72100,12/01/2026,21043891,581.56,NORWICH CITY SERVICES LTD
Norwich City Council,NCSL Deposit Recharge,160000,Open Spaces,A72100,12/01/2026,21043891,"1,486.22",NORWICH CITY SERVICES LTD
Norwich City Council,NCSL Deposit Recharge,290003,Swanton Road,A72100,12/01/2026,21043891,"3,295.52",NORWICH CITY SERVICES LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,12/01/2026,21045004,"33,803.53",WORKMAN LLP - CENTRAL RECEIPTS NO 4
Norwich City Council,Postages,550040,Customer Support Team,A40800,12/01/2026,21042959,980.72,ROYAL MAIL GROUP PLC
Norwich City Council,Professional Advice/Fees,220000,Investment Properties,A51300,12/01/2026,21043746,"1,125.00",ACUITUS LIMITED
Norwich City Council,Rental Property Service Charge,180000,Buildings & Land,A28900,12/01/2026,21043143,"2,894.00",THE FORUM TRUST LIMITED
