Payments to suppliers over £500 - January 2026,,,,,,,,
,,,,,,,,
Body Name,Service Label,Cost Centre,Expenditure Category,Account,Accounting Date,System Reference,Line Amount SUM,Vendor Name
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010480,804.73,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010288,809.93,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010406,814.92,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010385,817.78,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010295,819.33,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010399,826.46,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010446,826.46,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010455,826.46,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010475,828.4,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010477,828.4,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010483,828.4,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010340,829.09,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010443,832.58,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010433,835.63,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010435,835.63,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010440,835.63,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010372,835.72,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010358,836.82,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010258,839.42,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010309,841.6,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010317,841.6,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010341,846.36,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010346,848.18,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010292,852.26,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010344,855.28,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010424,861.05,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010253,862.18,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010262,862.34,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010271,863.07,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010275,863.66,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010279,867.62,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010306,874.2,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010448,881.55,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010407,881.61,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010294,881.75,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010285,882.53,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010389,887.57,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010485,887.57,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010304,897.09,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010328,899.51,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010333,899.75,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010299,901.27,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010300,901.27,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010364,901.27,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010289,902.45,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010370,905.43,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010260,917.64,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010361,917.64,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010449,918.28,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010246,923.78,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010254,923.78,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010330,923.78,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010374,923.78,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010404,926.05,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010409,926.05,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010427,929.94,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010249,933.44,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010281,933.44,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010327,933.44,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010378,933.44,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010324,935.73,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010392,937.16,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010396,937.16,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010397,937.16,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010400,937.16,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010315,941.08,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010302,942.24,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010442,946.75,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010248,946.78,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010366,948.57,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010244,950.01,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010250,950.01,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010252,950.01,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010331,950.01,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010280,950.43,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010352,950.44,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010316,956.38,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010247,957.35,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010431,957.49,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010251,958.18,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010375,962.19,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010421,964.38,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010426,964.38,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010388,974.64,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010259,975.42,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010447,979.5,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010451,979.5,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010452,979.5,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010311,982.25,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010487,"1,000.00",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010478,"1,005.92",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010377,"1,007.75",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010417,"1,033.27",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010473,"1,035.50",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010444,"1,040.72",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010322,"1,042.11",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010416,"1,047.04",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010308,"1,071.15",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010310,"1,071.15",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010408,"1,074.22",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010413,"1,111.27",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010476,"1,124.26",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010419,"1,136.59",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010428,"1,136.59",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010354,"1,140.36",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010487,"1,330.41",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010464,"1,656.80",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010445,"1,714.13",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010486,"1,775.15",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010466,"1,893.49",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010467,"1,893.49",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010468,"1,893.49",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010470,"1,893.49",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010471,"1,958.58",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010461,"1,959.01",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010481,"2,071.01",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010484,"2,130.18",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010450,"2,448.76",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010456,"2,448.76",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010458,"2,448.76",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010459,"2,448.76",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010454,"2,571.20",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010457,"2,632.41",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010460,"3,183.38",REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,26/01/2026,22010453,"3,611.92",REDACTED PERSONAL DATA
Norwich City Council,Disabled Adaptations,X95010,Housing & Community Safety HRA Capital,C11900,26/01/2026,21044173,"6,141.28",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Exp on Grants,X90010,Housing & Community Safety GF Capital,C12500,26/01/2026,21044219,901.92,NORWICH CITY SERVICES LTD
Norwich City Council,Exp on Grants,X90010,Housing & Community Safety GF Capital,C12500,26/01/2026,21044219,"3,702.47",NORWICH CITY SERVICES LTD
Norwich City Council,Exp on Grants,X90010,Housing & Community Safety GF Capital,C12500,26/01/2026,21044222,"5,288.77",NORWICH CITY SERVICES LTD
Norwich City Council,General Repairs,730020,HRA Repairs,A23000,26/01/2026,21044264,"25,166.67",NORWICH CITY SERVICES LTD
Norwich City Council,General Repairs & Mtce,410040,Private Sector Leasing Scheme,A20300,26/01/2026,22010343,627.96,REDACTED PERSONAL DATA
Norwich City Council,General Repairs & Mtce,410040,Private Sector Leasing Scheme,A20300,26/01/2026,22010401,777.88,REDACTED PERSONAL DATA
Norwich City Council,General Repairs & Mtce,410045,Syrian Refugee Programme,A20300,26/01/2026,21044368,855,HYSPEK PROPERTY MAINTENANCE LTD
Norwich City Council,Heating Oil,721040,District Heating,A26900,26/01/2026,21044086,"2,812.29",RIX PETROLEUM LTD
Norwich City Council,Homelessness,410030,Homelessness,A40200,26/01/2026,21044679,"2,400.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Homelessness,410030,Homelessness,A40200,26/01/2026,21044683,"2,400.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,IT Services - Contract Charge,321026,IT Applications,A50400,26/01/2026,21043985,"7,997.00",NEC SOFTWARE SOLUTIONS UK LTD
Norwich City Council,IT Services - Development Fund,321026,IT Applications,A50600,26/01/2026,21044093,"23,750.00",NEC SOFTWARE SOLUTIONS UK LTD
Norwich City Council,Major & Minor Repairs,730020,HRA Repairs,A23400,26/01/2026,21044266,"1,094.34",NORWICH CITY SERVICES LTD
Norwich City Council,Major & Minor Repairs,730020,HRA Repairs,A23400,26/01/2026,21044265,"34,798.63",NORWICH CITY SERVICES LTD
Norwich City Council,Other Equipment Mtce,290000,City Hall,A24150,26/01/2026,21044014,690,Swallow Evacuation & Mobility Products Ltd T/A Evaccaess
Norwich City Council,Other Hired & Contracting Services,431080,Integrated Waste Management,A51200,26/01/2026,21043997,"1,565.65",TMA BARK SUPPLIES LIMITED
Norwich City Council,Postages,550040,Customer Support Team,A40800,26/01/2026,21044100,"1,543.29",ROYAL MAIL GROUP PLC
Norwich City Council,Professional Advice/Fees,620046,East Norwich Programme Mngmnt,A51300,26/01/2026,21044506,"18,000.00",BURO HAPPOLD LIMITED
Norwich City Council,Projects,410135,Interact Team,A49300,26/01/2026,21043982,"10,986.50",THE COLLABORATE I CIC
Norwich City Council,Purchase of Equipment,421040,Fringe Project,A42700,26/01/2026,21044218,"3,056.25",K RACKHAM & SON ENGINEERING LTD
Norwich City Council,Short Term - Accrued Income,999999,GF Balance Sheet,B11600,26/01/2026,21044220,"10,459.23",NORWICH CITY SERVICES LTD
Norwich City Council,Short Term - Accrued Income,999999,GF Balance Sheet,B11600,26/01/2026,21044220,"11,971.47",NORWICH CITY SERVICES LTD
Norwich City Council,Short Term - Accrued Income,999999,GF Balance Sheet,B11600,26/01/2026,21044220,"43,216.23",NORWICH CITY SERVICES LTD
Norwich City Council,Staff Training Expenses,530050,Learning & Development,A10800,26/01/2026,21043999,"1,190.00",MAYBO LTD
Norwich City Council,Water Hygiene upgrades,X95010,Housing & Community Safety HRA Capital,C11860,26/01/2026,21044269,611,IMPACT RENEWABLES LTD
Norwich City Council,Agency Supply Staff,710250,Housing Delivery,A11300,27/01/2026,21044085,"2,700.00",REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Day to Day Repairs,290000,City Hall,A25800,27/01/2026,21044096,758.75,N D WILLAN BUILDING CONTRACTORS LTD
Norwich City Council,Day to Day Repairs,290000,City Hall,A25800,27/01/2026,21044094,"4,458.00",N D WILLAN BUILDING CONTRACTORS LTD
Norwich City Council,Decoration Allowances,710230,Void Dwelling Management,A47100,27/01/2026,21044104,560,REDACTED PERSONAL DATA
Norwich City Council,Decoration Allowances,710230,Void Dwelling Management,A47100,27/01/2026,21044108,560,REDACTED PERSONAL DATA
Norwich City Council,Electricity,190001,Anglia Square - Development,A27000,27/01/2026,22010580,"1,081.94",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Electricity,190001,Anglia Square - Development,A27000,27/01/2026,22010577,"1,886.18",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Electricity,190001,Anglia Square - Development,A27000,27/01/2026,22010574,"1,897.26",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Electricity,190001,Anglia Square - Development,A27000,27/01/2026,22010573,"1,990.48",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Electricity,190001,Anglia Square - Development,A27000,27/01/2026,22010579,"1,995.95",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Electricity,190001,Anglia Square - Development,A27000,27/01/2026,22010571,"2,089.51",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010558,515.4,EON NEXT ENERGY LIMITED
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010557,532.58,EON NEXT ENERGY LIMITED
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010559,532.58,EON NEXT ENERGY LIMITED
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010581,800.41,EDF ENERGY CUSTOMERS PLC
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010570,969.93,EDF ENERGY CUSTOMERS PLC
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010576,"1,854.38",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010572,"1,855.99",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010575,"1,921.94",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Gas,190001,Anglia Square - Development,A27200,27/01/2026,22010578,"2,049.63",EDF ENERGY CUSTOMERS PLC
Norwich City Council,Gas Cent Heating Repairs C Wks,730020,HRA Repairs,A23600,27/01/2026,21044419,"2,101.98",GASWAY SERVICES LTD
Norwich City Council,Professional Advice/Fees,220000,Investment Properties,A51300,27/01/2026,21044868,"3,500.00",CARTER JONAS LLP
Norwich City Council,Projects,420070,Financial Inclusion,A49300,27/01/2026,21044493,565,LIVING WAGE FOUNDATION
Norwich City Council,Publicity Materials,431080,Integrated Waste Management,A41700,27/01/2026,21044664,"1,528.00",THE PRINT CO (WEST) LIMITED
Norwich City Council,Publicity Materials,431080,Integrated Waste Management,A41700,27/01/2026,21044118,"2,095.00",KEEP BRITAIN TIDY
Norwich City Council,Sheltered Hsg Comm Facs,X95010,Housing & Community Safety HRA Capital,C11500,27/01/2026,21044423,"45,150.43",BELL GROUP LIMITED
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,27/01/2026,22010490,695.59,REDACTED PERSONAL DATA
Norwich City Council,Short Term - Housing Rent Debtors,999999,GF Balance Sheet,B12600,27/01/2026,22010495,"1,123.00",REDACTED PERSONAL DATA
Norwich City Council,Void Repairs,730080,HRA Repairs - Void Properties,A23100,27/01/2026,21044272,"14,921.76",BELL GROUP LIMITED
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,27/01/2026,21044271,869.19,BELL GROUP LIMITED
Norwich City Council,Agency Supply Staff,550010,Customer Contact Team,A11300,28/01/2026,21044256,767.01,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,550010,Customer Contact Team,A11300,28/01/2026,21044257,767.01,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Agency Supply Staff,550010,Customer Contact Team,A11300,28/01/2026,21044259,767.01,REDACTED COMMERCIAL CONFIDENTIALITY
Norwich City Council,Exterior Painting,730020,HRA Repairs,A26000,28/01/2026,21044273,"124,049.37",BELL GROUP LIMITED
Norwich City Council,IT Services - Contract Charge,321026,IT Applications,A50400,28/01/2026,21044281,"4,483.23",NEC SOFTWARE SOLUTIONS UK LTD
Norwich City Council,IT Services - Contract Charge,321026,IT Applications,A50400,28/01/2026,21044280,"88,112.73",NEC SOFTWARE SOLUTIONS UK LTD
Norwich City Council,Major & Minor Repairs,730020,HRA Repairs,A23400,28/01/2026,21044745,"2,180.86",GASWAY SERVICES LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,28/01/2026,21045005,643.08,WORKMAN LLP - CENTRAL RECEIPTS NO 4
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,28/01/2026,21044239,"1,725.00",FEILDEN AND MAWSON LLP
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,28/01/2026,21044160,"5,983.25",TRUETECH INTEGRATED LTD
Norwich City Council,New Constructn/Convrsn/Renovtn,X90050,Environment Services GF Capital,C10100,28/01/2026,21044215,"62,800.00",BETONGPARK LIMITED
Norwich City Council,New Constructn/Convrsn/Renovtn,X90080,Property & Economic Development GF Capital,C10100,28/01/2026,21044211,"76,216.32",ZENITH CONTRACT SERVICES LIMITED
Norwich City Council,Other Hired & Contracting Services,522050,Environmental Protection,A51200,28/01/2026,21044274,618.75,CG DESIGN
Norwich City Council,Street Ltng Mtce Bulk Work,645030,Public Area Lighting,A20900,28/01/2026,21044260,"1,607.10",EDMUNDSON ELECTRICAL LIMITED
Norwich City Council,Void Repairs,730080,HRA Repairs - Void Properties,A23100,28/01/2026,21044647,514.27,GASWAY SERVICES LTD
Norwich City Council,Void Repairs,730080,HRA Repairs - Void Properties,A23100,28/01/2026,21044648,"1,420.76",GASWAY SERVICES LTD
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,28/01/2026,21044710,"1,305.21",GASWAY SERVICES LTD
Norwich City Council,Whole House Improvements,X95010,Housing & Community Safety HRA Capital,C10300,28/01/2026,21044710,"21,456.60",GASWAY SERVICES LTD
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,29/01/2026,22010585,503.91,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,29/01/2026,22010584,621.3,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,29/01/2026,22010583,916.21,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,29/01/2026,22010583,946.75,REDACTED PERSONAL DATA
Norwich City Council,Building Rents,410040,Private Sector Leasing Scheme,A30000,29/01/2026,22010585,"1,420.12",REDACTED PERSONAL DATA
Norwich City Council,Fees & Charges Misc Other,410040,Private Sector Leasing Scheme,A90300,29/01/2026,22010584,601.26,REDACTED PERSONAL DATA
